


group_span_2(m), Y
0.000182135, -0.470258
0.00018236, 0.360533
0.000182584, -0.171823
0.000182809, -0.0535476
0.000183034, 0.325851
0.000183258, -0.448135
0.000183483, 0.422043
0.000183708, -0.262379
0.000183933, 0.0167652
0.000184157, 0.246865
0.000184382, -0.437432
0.000184607, 0.453027
0.000184831, -0.328731
0.000185056, 0.0963634
0.000185281, 0.195492
0.000185506, -0.397045
0.00018573, 0.468977
0.000185955, -0.411321
0.00018618, 0.143238
0.000186404, 0.0934501
0.000186629, -0.340794
0.000186854, 0.483833
0.000187079, -0.414792
0.000187303, 0.22966
0.000187528, 0.0242424
0.000187753, -0.288515
0.000187978, 0.459748
0.000188202, -0.445825
0.000188427, 0.298007
0.000188652, -0.0419804
0.000188876, -0.223128
0.000189101, 0.412467
0.000189326, -0.437514
0.000189551, 0.346256
0.000189775, -0.103776
0.00019, -0.154326



group_span_2(m), Y
0.00017, 0.319341
0.000170225, -0.354356
0.000170449, 0.268865
0.000170674, -0.110636
0.000170899, -0.106921
0.000171124, 0.279735
0.000171348, -0.404168
0.000171573, 0.325979
0.000171798, -0.158012
0.000172022, -0.00908374
0.000172247, 0.273939
0.000172472, -0.381066
0.000172697, 0.365617
0.000172921, -0.276357
0.000173146, 0.0208918
0.000173371, 0.1918
0.000173596, -0.384784
0.00017382, 0.431428
0.000174045, -0.316993
0.00017427, 0.119358
0.000174494, 0.168275
0.000174719, -0.351389
0.000174944, 0.457331
0.000175169, -0.386274
0.000175393, 0.171037
0.000175618, 0.0639694
0.000175843, -0.325958
0.000176067, 0.448118
0.000176292, -0.419856
0.000176517, 0.254583
0.000176742, 0.00873064
0.000176966, -0.258706
0.000177191, 0.434005
0.000177416, -0.450634
0.00017764, 0.313807
0.000177865, -0.0700262
0.00017809, -0.197094
0.000178315, 0.394147
0.000178539, -0.454274
0.000178764, 0.364488
0.000178989, -0.147473
0.000179213, -0.112445
0.000179438, 0.33729
0.000179663, -0.443183
0.000179888, 0.402364
0.000180112, -0.227448
0.000180337, -0.0302611
0.000180562, 0.266696
0.000180787, -0.412541
0.000181011, 0.423726
0.000181236, -0.285313
0.000181461, 0.0624072
0.000181685, 0.197581
0.00018191, -0.368235
0.000182135, 0.40905
0.00018236, -0.354594
0.000182584, 0.132213
0.000182809, 0.0917988
0.000183034, -0.301317
0.000183258, 0.404031
0.000183483, -0.384634
0.000183708, 0.214375
0.000183933, -0.00472468
0.000184157, -0.231867
0.000184382, 0.371931
0.000184607, -0.365268
0.000184831, 0.298543
0.000185056, -0.0620837
0.000185281, -0.141585
0.000185506, 0.312352
0.00018573, -0.392205
0.000185955, 0.309193
0.00018618, -0.171531
0.000186404, -0.0448634
0.000186629, 0.266908
0.000186854, -0.336616
0.000187079, 0.362916
0.000187303, -0.237506
0.000187528, 0.0164567
0.000187753, 0.172382
0.000187978, -0.312204
0.000188202, 0.367074
0.000188427, -0.294472
0.000188652, 0.1069
0.000188876, 0.0756513
0.000189101, -0.254023
0.000189326, 0.348325
0.000189551, -0.315738
0.000189775, 0.201704
0.00019, 0.00234505



group_span_2(m), Y
0.00017, 0.00759197
0.000170225, -0.0581678
0.000170449, 0.0202903
0.000170674, 0.0063061
0.000170899, -0.00103477
0.000171124, -0.00370943
0.000171348, 0.0168674
0.000171573, -0.00144156
0.000171798, 0.00829378
0.000172022, -0.000393653
0.000172247, -7.32283e-05
0.000172472, -0.0287434
0.000172697, 0.021205
0.000172921, 0.00652705
0.000173146, -0.00878876
0.000173371, -0.0236737
0.000173596, 0.0220117
0.00017382, 0.00176343
0.000174045, 0.00929913
0.00017427, -0.0143349
0.000174494, -0.00620953
0.000174719, 0.0218192
0.000174944, 0.00861422
0.000175169, -0.0274932
0.000175393, -0.0108049
0.000175618, 0.00944072
0.000175843, 0.00719979
0.000176067, -0.00220888
0.000176292, -0.00844356
0.000176517, 0.00046768
0.000176742, 0.00204147
0.000176966, 0.000487944
0.000177191, 0.00247074
0.000177416, 0.00080132
0.00017764, -0.00361327
0.000177865, -0.00398927
0.00017809, 0.0119035
0.000178315, 5.25285e-05
0.000178539, -2.26981e-05
0.000178764, 0.0013674
0.000178989, -0.000384724
0.000179213, -0.00122982
0.000179438, 0.00489436
0.000179663, 0.00144137
0.000179888, 0.000470127
0.000180112, -0.00924081
0.000180337, 9.35566e-05
0.000180562, 0.00124787
0.000180787, 0.00658597
0.000181011, 0.00333948
0.000181236, -0.00598418
0.000181461, -0.010339
0.000181685, 0.00724664
0.00018191, 0.0144441
0.000182135, -0.00247788
0.00018236, -0.00789374
0.000182584, 0.00146809
0.000182809, 0.00106278
0.000183034, -0.00421612
0.000183258, 0.0272738
0.000183483, -0.000576023
0.000183708, -0.0299479
0.000183933, -0.0139173
0.000184157, 0.019558
0.000184382, 0.0310331
0.000184607, -0.0155941
0.000184831, -0.0316418
0.000185056, -0.010509
0.000185281, 0.018421
0.000185506, 0.0291094
0.00018573, -0.00588934
0.000185955, -0.0183594
0.00018618, -0.0219476
0.000186404, 0.0174783
0.000186629, 0.0177987
0.000186854, 0.0154484
0.000187079, -0.0257572
0.000187303, -0.020048
0.000187528, 0.0146947
0.000187753, 0.00810643
0.000187978, 0.0204988
0.000188202, -0.00938304
0.000188427, -0.0155827
0.000188652, -0.0137249
0.000188876, 0.00845183
0.000189101, 0.0192472
0.000189326, 0.00822096
0.000189551, -0.0211152
0.000189775, -0.0341199
0.00019, 0.00788111



group_span_2(m), Y
0.00017, -0.0423788
0.000170225, -0.0339503
0.000170449, 0.0557454
0.000170674, 0.0335867
0.000170899, -0.0258016
0.000171124, -0.0305872
0.000171348, -0.0073755
0.000171573, 0.0180062
0.000171798, 0.040997
0.000172022, -0.00710721
0.000172247, -0.0237069
0.000172472, -0.0288082
0.000172697, 0.018251
0.000172921, 0.0239978
0.000173146, 0.000747922
0.000173371, -0.017293
0.000173596, -0.01035
0.00017382, -0.0150338
0.000174045, 0.0273691
0.00017427, 0.0147922
0.000174494, 0.0056856
0.000174719, -0.0255247
0.000174944, 0.00702452
0.000175169, -0.00966373
0.000175393, 0.0161529
0.000175618, -0.00102835
0.000175843, -0.0115816
0.000176067, -0.00984041
0.000176292, 0.00290977
0.000176517, 0.0116441
0.000176742, 0.0081783
0.000176966, -0.0127595
0.000177191, -0.00393224
0.000177416, 0.00162553
0.00017764, 0.00891746
0.000177865, 0.00086936
0.00017809, 0.00586281
0.000178315, -0.00184218
0.000178539, -0.000263125
0.000178764, -0.00229033
0.000178989, 0.00272256
0.000179213, 0.0102474
0.000179438, 0.00350778
0.000179663, -0.0118132
0.000179888, -0.00510994
0.000180112, 0.00647785
0.000180337, 0.00950894
0.000180562, 0.000699015
0.000180787, -0.00912744
0.000181011, -0.00267743
0.000181236, 0.00103407
0.000181461, 0.00812613
0.000181685, 0.00623403
0.00018191, -0.00804782
0.000182135, -0.00451795
0.00018236, -0.00738882
0.000182584, 0.0218373
0.000182809, -0.00563296
0.000183034, -0.0149872
0.000183258, -0.00127917
0.000183483, 0.00314661
0.000183708, 0.00338575
0.000183933, 0.00192573
0.000184157, -0.00629892
0.000184382, 0.0023018
0.000184607, 0.0138718
0.000184831, -0.00270137
0.000185056, -0.0203134
0.000185281, -0.00132022
0.000185506, 0.0198433
0.00018573, -0.00841981
0.000185955, 0.00019395
0.00018618, -0.00324765
0.000186404, 0.00826388
0.000186629, -0.00510424
0.000186854, 0.00970305
0.000187079, 0.00162226
0.000187303, -0.00401805
0.000187528, -0.00780633
0.000187753, 0.000475362
0.000187978, 0.0159027
0.000188202, 0.014039
0.000188427, -0.020028
0.000188652, -0.0107791
0.000188876, 0.0209721
0.000189101, 0.00839814
0.000189326, -0.00624116
0.000189551, -0.0138013
0.000189775, -0.0154348
0.00019, 0.00823547



group_span_2(m), Y
0.00017, 0.00990611
0.000170225, 0.0487487
0.000170449, 0.0712458
0.000170674, -0.0392803
0.000170899, -0.0423215
0.000171124, -0.0279146
0.000171348, 0.0464237
0.000171573, 0.0605947
0.000171798, 0.0176478
0.000172022, -0.0763693
0.000172247, -0.0257498
0.000172472, 0.0113195
0.000172697, 0.0668302
0.000172921, 0.00512953
0.000173146, -0.036342
0.000173371, -0.0574403
0.000173596, 0.0341653
0.00017382, 0.0438361
0.000174045, 0.0146482
0.00017427, -0.0233465
0.000174494, -0.0399773
0.000174719, 0.0213322
0.000174944, 0.0222991
0.000175169, 0.0197952
0.000175393, -0.0170005
0.000175618, -0.0285785
0.000175843, 0.00802516
0.000176067, 0.011323
0.000176292, 0.0102685
0.000176517, -0.00787753
0.000176742, -0.00620712
0.000176966, 0.000126988
0.000177191, 0.00351747
0.000177416, 0.00203038
0.00017764, -7.97492e-05
0.000177865, -0.00144067
0.00017809, 0.00174513
0.000178315, -0.00106923
0.000178539, -0.00504665
0.000178764, 0.00322582
0.000178989, 0.00328908
0.000179213, 0.00163693
0.000179438, -0.00235448
0.000179663, -0.00119217
0.000179888, 0.000206708
0.000180112, 0.00204446
0.000180337, 0.000862265
0.000180562, -0.00112225
0.000180787, 0.00491467
0.000181011, -0.00221235
0.000181236, 0.00114485
0.000181461, 0.000165492
0.000181685, -0.0105337
0.00018191, 0.00388801
0.000182135, 0.00888162
0.00018236, 0.000650583
0.000182584, -0.010847
0.000182809, -0.0142133
0.000183034, 0.00538908
0.000183258, 0.0347176
0.000183483, -0.00286149
0.000183708, -0.0322586
0.000183933, -0.0198691
0.000184157, 0.0202104
0.000184382, 0.0400085
0.000184607, -0.015729
0.000184831, -0.0449197
0.000185056, -0.01345
0.000185281, 0.019405
0.000185506, 0.0421776
0.00018573, 0.00118608
0.000185955, -0.0239131
0.00018618, -0.0437156
0.000186404, 0.028537
0.000186629, 0.0295403
0.000186854, 0.0374106
0.000187079, -0.0426781
0.000187303, -0.0402818
0.000187528, 0.0124757
0.000187753, 0.0321552
0.000187978, 0.0354513
0.000188202, -0.0312074
0.000188427, -0.0282677
0.000188652, -0.0253602
0.000188876, 0.0370973
0.000189101, 0.0276506
0.000189326, 0.0058732
0.000189551, -0.0408495
0.000189775, -0.0254974
0.00019, 0.00967367



group_span_2(m), Y
0.00017, -0.0288391
