

wavelength(nm), Y
1570.25, -6.33991
1570.25, -6.31405
1570.25, -6.28836
1570.24, -6.26285
1570.24, -6.23752
1570.24, -6.21237
1570.24, -6.18739
1570.24, -6.16258
1570.24, -6.13795
1570.24, -6.1135
1570.24, -6.08921
1570.24, -6.06509
1570.23, -6.04115
1570.23, -6.01737
1570.23, -5.99376
1570.23, -5.97032
1570.23, -5.94704
1570.23, -5.92393
1570.23, -5.90099
1570.23, -5.8782
1570.22, -5.85558
1570.22, -5.83312
1570.22, -5.81082
1570.22, -5.78869
1570.22, -5.76671
1570.22, -5.74489
1570.22, -5.72322
1570.22, -5.70172
1570.21, -5.68037
1570.21, -5.65917
1570.21, -5.63813
1570.21, -5.61725
1570.21, -5.59651
1570.21, -5.57593
1570.21, -5.5555
1570.21, -5.53522
1570.21, -5.5151
1570.2, -5.49512
1570.2, -5.47529
1570.2, -5.45561
1570.2, -5.43607
1570.2, -5.41669
1570.2, -5.39745
1570.2, -5.37835
1570.2, -5.3594
1570.19, -5.3406
1570.19, -5.32193
1570.19, -5.30341
1570.19, -5.28504
1570.19, -5.2668
1570.19, -5.24871
1570.19, -5.23076
1570.19, -5.21294
1570.18, -5.19527
1570.18, -5.17774
1570.18, -5.16034
1570.18, -5.14308
1570.18, -5.12596
1570.18, -5.10898
1570.18, -5.09213
1570.18, -5.07542
1570.17, -5.05884
1570.17, -5.0424
1570.17, -5.02609
1570.17, -5.00992
1570.17, -4.99388
1570.17, -4.97797
1570.17, -4.96219
1570.17, -4.94655
1570.17, -4.93104
1570.16, -4.91565
1570.16, -4.9004
1570.16, -4.88528
1570.16, -4.87029
1570.16, -4.85542
1570.16, -4.84069
1570.16, -4.82608
1570.16, -4.8116
1570.15, -4.79725
1570.15, -4.78302
1570.15, -4.76893
1570.15, -4.75495
1570.15, -4.74111
1570.15, -4.72738
1570.15, -4.71379
1570.15, -4.70032
1570.14, -4.68697
1570.14, -4.67374
1570.14, -4.66064
1570.14, -4.64766
1570.14, -4.63481
1570.14, -4.62207
1570.14, -4.60946
1570.14, -4.59697
1570.13, -4.5846
1570.13, -4.57235
1570.13, -4.56023
1570.13, -4.54822
1570.13, -4.53633
1570.13, -4.52456
1570.13, -4.51291
1570.13, -4.50138
1570.13, -4.48997
1570.12, -4.47868
1570.12, -4.4675
1570.12, -4.45644
1570.12, -4.4455
1570.12, -4.43468
1570.12, -4.42397
1570.12, -4.41338
1570.12, -4.40291
1570.11, -4.39255
1570.11, -4.38231
1570.11, -4.37218
1570.11, -4.36217
1570.11, -4.35227
1570.11, -4.34249
1570.11, -4.33282
1570.11, -4.32326
1570.1, -4.31382
1570.1, -4.30449
1570.1, -4.29528
1570.1, -4.28618
1570.1, -4.27719
1570.1, -4.26832
